"site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
502020,"DS_Mag_50",0.241994008067777,"Current","ds_mag_50",0.142718072540522,0.133850505275293,"ASCI"
502030,"DS_Mag_50",0.233136950005137,"Current","ds_mag_50",0.142714859257075,0.128950323783146,"ASCI"
101011,"DS_Mag_50",-0.00409081217862483,"Current","ds_mag_50",0.512065519226263,1,"ASCI"
101012,"DS_Mag_50",-0.154771581858776,"Current","ds_mag_50",0.511991397101468,0.687097066107978,"ASCI"
101020,"DS_Mag_50",-0.0169146508672015,"Current","ds_mag_50",0.512059211008778,0.973370167626844,"ASCI"
201031,"DS_Mag_50",-0.0114942633699821,"Current","ds_mag_50",0.512061877370234,0.984626082437643,"ASCI"
201050,"DS_Mag_50",-0.111094171235482,"Current","ds_mag_50",0.51201288272759,0.777797588641531,"ASCI"
201061,"DS_Mag_50",-0.114784764284616,"Current","ds_mag_50",0.512011067266776,0.770133709376211,"ASCI"
401070,"DS_Mag_50",-0.0458179068151625,"Current","ds_mag_50",0.512044993097158,0.913349947319741,"ASCI"
401100,"DS_Mag_50",-0.032195395118405,"Current","ds_mag_50",0.512051694201626,0.941638332929271,"ASCI"
402020,"DS_Mag_50",-0.485644608016313,"Current","ds_mag_50",0.511828633864171,0,"ASCI"
402021,"DS_Mag_50",-0.360931598013478,"Current","ds_mag_50",0.511889983051648,0.258982602111438,"ASCI"
402022,"DS_Mag_50",-0.367799484991392,"Current","ds_mag_50",0.511886604589965,0.244720590932393,"ASCI"
402023,"DS_Mag_50",-0.168753779419108,"Current","ds_mag_50",0.511984519022526,0.658061591389553,"ASCI"
403010,"DS_Mag_50",-0.0604377379120865,"Current","ds_mag_50",0.51203780139248,0.882990516855375,"ASCI"
101010,"Peak_2",36.7527,"Current","peak_2",NA,NA,"ASCI"
101011,"Peak_2",22.9862,"Current","peak_2",NA,NA,"ASCI"
101012,"Peak_2",17.7173,"Current","peak_2",NA,NA,"ASCI"
101020,"Peak_2",9.8958,"Current","peak_2",NA,NA,"ASCI"
201010,"Peak_2",625.3921,"Current","peak_2",NA,NA,"ASCI"
201020,"Peak_2",629.2004,"Current","peak_2",NA,NA,"ASCI"
201030,"Peak_2",25.6666,"Current","peak_2",NA,NA,"ASCI"
201031,"Peak_2",6.9604,"Current","peak_2",NA,NA,"ASCI"
201040,"Peak_2",362.6644,"Current","peak_2",NA,NA,"ASCI"
201041,"Peak_2",346.4544,"Current","peak_2",NA,NA,"ASCI"
201050,"Peak_2",82.8507,"Current","peak_2",NA,NA,"ASCI"
201060,"Peak_2",267.5821,"Current","peak_2",NA,NA,"ASCI"
201061,"Peak_2",58.9867,"Current","peak_2",NA,NA,"ASCI"
201062,"Peak_2",149.8579,"Current","peak_2",NA,NA,"ASCI"
201070,"Peak_2",625.3921,"Current","peak_2",NA,NA,"ASCI"
201080,"Peak_2",629.2004,"Current","peak_2",NA,NA,"ASCI"
201090,"Peak_2",25.6666,"Current","peak_2",NA,NA,"ASCI"
201091,"Peak_2",6.9604,"Current","peak_2",NA,NA,"ASCI"
201100,"Peak_2",362.6644,"Current","peak_2",NA,NA,"ASCI"
203010,"Peak_2",83.8251,"Current","peak_2",NA,NA,"ASCI"
204010,"Peak_2",168.1702,"Current","peak_2",NA,NA,"ASCI"
205010,"Peak_2",46.1734,"Current","peak_2",NA,NA,"ASCI"
207010,"Peak_2",33.7388,"Current","peak_2",NA,NA,"ASCI"
301010,"Peak_2",93.1641,"Current","peak_2",NA,NA,"ASCI"
301011,"Peak_2",15.0521,"Current","peak_2",NA,NA,"ASCI"
301020,"Peak_2",33.1617,"Current","peak_2",NA,NA,"ASCI"
301030,"Peak_2",26.2048,"Current","peak_2",NA,NA,"ASCI"
401070,"Peak_2",15.6582,"Current","peak_2",NA,NA,"ASCI"
401080,"Peak_2",78.5691,"Current","peak_2",NA,NA,"ASCI"
401100,"Peak_2",35.343,"Current","peak_2",NA,NA,"ASCI"
401101,"Peak_2",0.4026,"Current","peak_2",NA,NA,"ASCI"
401110,"Peak_2",33.8553,"Current","peak_2",NA,NA,"ASCI"
401120,"Peak_2",3.4929,"Current","peak_2",NA,NA,"ASCI"
401121,"Peak_2",0.4639,"Current","peak_2",NA,NA,"ASCI"
402010,"Peak_2",35.343,"Current","peak_2",NA,NA,"ASCI"
402020,"Peak_2",250.5228,"Current","peak_2",NA,NA,"ASCI"
402021,"Peak_2",243.9133,"Current","peak_2",NA,NA,"ASCI"
402022,"Peak_2",229.1073,"Current","peak_2",NA,NA,"ASCI"
402023,"Peak_2",207.7793,"Current","peak_2",NA,NA,"ASCI"
402030,"Peak_2",99.3239,"Current","peak_2",NA,NA,"ASCI"
402031,"Peak_2",90.4137,"Current","peak_2",NA,NA,"ASCI"
402040,"Peak_2",13.8443,"Current","peak_2",NA,NA,"ASCI"
402041,"Peak_2",0.5308,"Current","peak_2",NA,NA,"ASCI"
402050,"Peak_2",81.8394,"Current","peak_2",NA,NA,"ASCI"
402051,"Peak_2",78.0454,"Current","peak_2",NA,NA,"ASCI"
402060,"Peak_2",38.9857,"Current","peak_2",NA,NA,"ASCI"
403010,"Peak_2",15.6582,"Current","peak_2",NA,NA,"ASCI"
403011,"Peak_2",78.5691,"Current","peak_2",NA,NA,"ASCI"
403020,"Peak_2",176.8656,"Current","peak_2",NA,NA,"ASCI"
403030,"Peak_2",84.1297,"Current","peak_2",NA,NA,"ASCI"
404010,"Peak_2",84.0278,"Current","peak_2",NA,NA,"ASCI"
405010,"Peak_2",73.5136,"Current","peak_2",NA,NA,"ASCI"
405020,"Peak_2",58.3903,"Current","peak_2",NA,NA,"ASCI"
501010,"Peak_2",80.9382,"Current","peak_2",NA,NA,"ASCI"
501011,"Peak_2",14.2129,"Current","peak_2",NA,NA,"ASCI"
501020,"Peak_2",35.8923,"Current","peak_2",NA,NA,"ASCI"
