COMID,FlowMetric,PredictedProbabilityScaled,Index,IndexCode
20326439,DS_Mag_50,9.893473e-01,ASCI,ASCI_DS_Mag_50
20329546,DS_Mag_50,9.957773e-01,ASCI,ASCI_DS_Mag_50
20328618,DS_Mag_50,9.992740e-01,ASCI,ASCI_DS_Mag_50
20333774,DS_Mag_50,9.061200e-01,ASCI,ASCI_DS_Mag_50
20332910,DS_Mag_50,9.781023e-01,ASCI,ASCI_DS_Mag_50
20329734,DS_Mag_50,9.980754e-01,ASCI,ASCI_DS_Mag_50
20332552,DS_Mag_50,9.637830e-01,ASCI,ASCI_DS_Mag_50
20343477,DS_Mag_50,9.929577e-01,ASCI,ASCI_DS_Mag_50
20329920,DS_Mag_50,9.996839e-01,ASCI,ASCI_DS_Mag_50
948070244,DS_Mag_50,8.108330e-01,ASCI,ASCI_DS_Mag_50
20341721,DS_Mag_50,9.947471e-01,ASCI,ASCI_DS_Mag_50
20348507,DS_Mag_50,9.975146e-01,ASCI,ASCI_DS_Mag_50
20331452,DS_Mag_50,9.542004e-01,ASCI,ASCI_DS_Mag_50
948070201,DS_Mag_50,8.780424e-01,ASCI,ASCI_DS_Mag_50
20350707,DS_Mag_50,9.711267e-01,ASCI,ASCI_DS_Mag_50
20350837,DS_Mag_50,9.897791e-01,ASCI,ASCI_DS_Mag_50
948070490,DS_Mag_50,8.630648e-01,ASCI,ASCI_DS_Mag_50
20341947,DS_Mag_50,9.949483e-01,ASCI,ASCI_DS_Mag_50
948070169,DS_Mag_50,9.930388e-01,ASCI,ASCI_DS_Mag_50
20325435,DS_Mag_50,9.954643e-01,ASCI,ASCI_DS_Mag_50
20331220,DS_Mag_50,9.841032e-01,ASCI,ASCI_DS_Mag_50
20343363,DS_Mag_50,8.936065e-01,ASCI,ASCI_DS_Mag_50
20348851,DS_Mag_50,9.994425e-01,ASCI,ASCI_DS_Mag_50
22549637,DS_Mag_50,9.947733e-01,ASCI,ASCI_DS_Mag_50
20330020,DS_Mag_50,9.948006e-01,ASCI,ASCI_DS_Mag_50
20332816,DS_Mag_50,9.844447e-01,ASCI,ASCI_DS_Mag_50
22548391,DS_Mag_50,9.957832e-01,ASCI,ASCI_DS_Mag_50
20333740,DS_Mag_50,9.163676e-01,ASCI,ASCI_DS_Mag_50
20332420,DS_Mag_50,9.774947e-01,ASCI,ASCI_DS_Mag_50
20333616,DS_Mag_50,9.625456e-01,ASCI,ASCI_DS_Mag_50
20341863,DS_Mag_50,9.915164e-01,ASCI,ASCI_DS_Mag_50
20329770,DS_Mag_50,9.979372e-01,ASCI,ASCI_DS_Mag_50
20343009,DS_Mag_50,9.957611e-01,ASCI,ASCI_DS_Mag_50
22548093,DS_Mag_50,9.953926e-01,ASCI,ASCI_DS_Mag_50
20329564,DS_Mag_50,9.976457e-01,ASCI,ASCI_DS_Mag_50
22548423,DS_Mag_50,9.469830e-01,ASCI,ASCI_DS_Mag_50
22548377,DS_Mag_50,9.970010e-01,ASCI,ASCI_DS_Mag_50
20333786,DS_Mag_50,9.578912e-01,ASCI,ASCI_DS_Mag_50
20328644,DS_Mag_50,9.884589e-01,ASCI,ASCI_DS_Mag_50
20332426,DS_Mag_50,9.963601e-01,ASCI,ASCI_DS_Mag_50
22545287,DS_Mag_50,9.492757e-01,ASCI,ASCI_DS_Mag_50
22549597,DS_Mag_50,9.921874e-01,ASCI,ASCI_DS_Mag_50
22547089,DS_Mag_50,8.313847e-01,ASCI,ASCI_DS_Mag_50
20332822,DS_Mag_50,9.842104e-01,ASCI,ASCI_DS_Mag_50
20330854,DS_Mag_50,9.818410e-01,ASCI,ASCI_DS_Mag_50
20348629,DS_Mag_50,9.759060e-01,ASCI,ASCI_DS_Mag_50
20333334,DS_Mag_50,9.936195e-01,ASCI,ASCI_DS_Mag_50
20348665,DS_Mag_50,9.975595e-01,ASCI,ASCI_DS_Mag_50
20331326,DS_Mag_50,8.177572e-01,ASCI,ASCI_DS_Mag_50
20329652,DS_Mag_50,9.975823e-01,ASCI,ASCI_DS_Mag_50
20326461,DS_Mag_50,9.989276e-01,ASCI,ASCI_DS_Mag_50
20329654,DS_Mag_50,9.975219e-01,ASCI,ASCI_DS_Mag_50
20348597,DS_Mag_50,9.911297e-01,ASCI,ASCI_DS_Mag_50
20334700,DS_Mag_50,9.519960e-01,ASCI,ASCI_DS_Mag_50
20348257,DS_Mag_50,9.615610e-01,ASCI,ASCI_DS_Mag_50
20331414,DS_Mag_50,9.995136e-01,ASCI,ASCI_DS_Mag_50
22547567,DS_Mag_50,9.968162e-01,ASCI,ASCI_DS_Mag_50
22548425,DS_Mag_50,9.983466e-01,ASCI,ASCI_DS_Mag_50
20334642,DS_Mag_50,9.280802e-01,ASCI,ASCI_DS_Mag_50
22548503,DS_Mag_50,9.267510e-01,ASCI,ASCI_DS_Mag_50
22548373,DS_Mag_50,9.793618e-01,ASCI,ASCI_DS_Mag_50
20348583,DS_Mag_50,9.992770e-01,ASCI,ASCI_DS_Mag_50
20325257,DS_Mag_50,9.974110e-01,ASCI,ASCI_DS_Mag_50
20348779,DS_Mag_50,9.987168e-01,ASCI,ASCI_DS_Mag_50
20342603,DS_Mag_50,9.913419e-01,ASCI,ASCI_DS_Mag_50
20332750,DS_Mag_50,9.976317e-01,ASCI,ASCI_DS_Mag_50
20341649,DS_Mag_50,9.883357e-01,ASCI,ASCI_DS_Mag_50
20331984,DS_Mag_50,9.957789e-01,ASCI,ASCI_DS_Mag_50
20333354,DS_Mag_50,9.461533e-01,ASCI,ASCI_DS_Mag_50
20333002,DS_Mag_50,9.758835e-01,ASCI,ASCI_DS_Mag_50
20326457,DS_Mag_50,9.973789e-01,ASCI,ASCI_DS_Mag_50
22548507,DS_Mag_50,9.985428e-01,ASCI,ASCI_DS_Mag_50
948070188,DS_Mag_50,9.775944e-01,ASCI,ASCI_DS_Mag_50
20343137,DS_Mag_50,9.962357e-01,ASCI,ASCI_DS_Mag_50
22548471,DS_Mag_50,9.988034e-01,ASCI,ASCI_DS_Mag_50
22547405,DS_Mag_50,9.952349e-01,ASCI,ASCI_DS_Mag_50
20343501,DS_Mag_50,9.972076e-01,ASCI,ASCI_DS_Mag_50
20332496,DS_Mag_50,9.988661e-01,ASCI,ASCI_DS_Mag_50
22549675,DS_Mag_50,9.897507e-01,ASCI,ASCI_DS_Mag_50
20332434,DS_Mag_50,9.987726e-01,ASCI,ASCI_DS_Mag_50
20325513,DS_Mag_50,9.926520e-01,ASCI,ASCI_DS_Mag_50
20341599,DS_Mag_50,9.967437e-01,ASCI,ASCI_DS_Mag_50
948070186,DS_Mag_50,9.435579e-01,ASCI,ASCI_DS_Mag_50
20331500,DS_Mag_50,9.923520e-01,ASCI,ASCI_DS_Mag_50
20331400,DS_Mag_50,9.504470e-01,ASCI,ASCI_DS_Mag_50
20331148,DS_Mag_50,9.588138e-01,ASCI,ASCI_DS_Mag_50
948070153,DS_Mag_50,8.519885e-01,ASCI,ASCI_DS_Mag_50
20331350,DS_Mag_50,9.578224e-01,ASCI,ASCI_DS_Mag_50
20333052,DS_Mag_50,9.702227e-01,ASCI,ASCI_DS_Mag_50
20325249,DS_Mag_50,9.945195e-01,ASCI,ASCI_DS_Mag_50
20351609,DS_Mag_50,9.988516e-01,ASCI,ASCI_DS_Mag_50
20348191,DS_Mag_50,9.764881e-01,ASCI,ASCI_DS_Mag_50
20343239,DS_Mag_50,9.797686e-01,ASCI,ASCI_DS_Mag_50
20341529,DS_Mag_50,9.896438e-01,ASCI,ASCI_DS_Mag_50
20348495,DS_Mag_50,9.734826e-01,ASCI,ASCI_DS_Mag_50
22549657,DS_Mag_50,9.867378e-01,ASCI,ASCI_DS_Mag_50
22549573,DS_Mag_50,9.932610e-01,ASCI,ASCI_DS_Mag_50
20325299,DS_Mag_50,9.736245e-01,ASCI,ASCI_DS_Mag_50
20328680,DS_Mag_50,9.775418e-01,ASCI,ASCI_DS_Mag_50
20341963,DS_Mag_50,9.922588e-01,ASCI,ASCI_DS_Mag_50
20333406,DS_Mag_50,9.543354e-01,ASCI,ASCI_DS_Mag_50
20331282,DS_Mag_50,8.460946e-01,ASCI,ASCI_DS_Mag_50
20341781,DS_Mag_50,9.909774e-01,ASCI,ASCI_DS_Mag_50
20334494,DS_Mag_50,9.117852e-01,ASCI,ASCI_DS_Mag_50
20350879,DS_Mag_50,9.991958e-01,ASCI,ASCI_DS_Mag_50
20341615,DS_Mag_50,9.963350e-01,ASCI,ASCI_DS_Mag_50
20334422,DS_Mag_50,9.550021e-01,ASCI,ASCI_DS_Mag_50
20332806,DS_Mag_50,9.981419e-01,ASCI,ASCI_DS_Mag_50
22545275,DS_Mag_50,8.951307e-01,ASCI,ASCI_DS_Mag_50
20329642,DS_Mag_50,9.990375e-01,ASCI,ASCI_DS_Mag_50
