"","hydro","biol.endpoints","Condition","hydro.endpoints","thresholds","comb_code","PredictedProbability","Type","PredictedProbabilityScaled","comb_code_type","Flow.Metric.Name","Flow.Component"
"97",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"98",2,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.868265307432386,"Positive",0.994406900361705,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"99",0.5,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871017163730411,"Positive",0.99861427259736,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"100",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"101",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"102",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"103",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"104",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"105",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
"106",0,"CSCI",1,"DS_Dur_WS",0.63,"CSCI_DS_Dur_WS_0.63",0.871923506803169,"Positive",1,"CSCI_DS_Dur_WS_0.63_Positive","Dry-Season Baseflow Duration (days)","Dry-Season Baseflow"
