"","site","hydro.endpoints","hydro","Scenario","FlowMetric","PredictedProbability","PredictedProbabilityScaled","index"
"180",402023,"DS_Mag_50",-0.168753779419108,"Current","ds_mag_50",0.520492778384516,0.658059685887213,"CSCI"
"181",403010,"DS_Mag_50",-0.0604377379120865,"Current","ds_mag_50",0.52050064295239,0.88298964022553,"CSCI"
"182",101010,"FA_Mag",23.2564599764859,"Current","fa_mag",0.559400260628469,0.145194787855387,"CSCI"
"183",101012,"FA_Mag",6.42769843289941,"Current","fa_mag",0.557722083875945,0.0395876656188204,"CSCI"
"184",201010,"FA_Mag",33.326734835455,"Current","fa_mag",0.560403829725403,0.208349067720961,"CSCI"
"185",201020,"FA_Mag",33.9673013615712,"Current","fa_mag",0.560467649775965,0.212365242936521,"CSCI"
"186",201040,"FA_Mag",160.008808400196,"Current","fa_mag",0.572983759587409,1,"CSCI"
"187",201041,"FA_Mag",141.17969838313,"Current","fa_mag",0.571119525074358,0.882684322851359,"CSCI"
"188",201060,"FA_Mag",89.3343866543482,"Current","fa_mag",0.565976132664936,0.55901229600694,"CSCI"
"189",201062,"FA_Mag",47.1352536455544,"Current","fa_mag",0.561779135268787,0.294896602367932,"CSCI"
"190",201070,"FA_Mag",51.3889603054673,"Current","fa_mag",0.562202607209974,0.32154555516115,"CSCI"
"191",201080,"FA_Mag",52.1638972671481,"Current","fa_mag",0.562279745257022,0.326399827603811,"CSCI"
"192",201100,"FA_Mag",160.008808400196,"Current","fa_mag",0.572983759587409,1,"CSCI"
"193",203010,"FA_Mag",1.3792427894202,"Current","fa_mag",0.55721838917267,0.00789032025947688,"CSCI"
"194",204010,"FA_Mag",10.6220465298666,"Current","fa_mag",0.558140472288362,0.0659167135847288,"CSCI"
"195",401080,"FA_Mag",4.20023940013978,"Current","fa_mag",0.557499860324994,0.0256032091699689,"CSCI"
"196",401100,"FA_Mag",3.22571034530927,"Current","fa_mag",0.557402628707398,0.0194844548079351,"CSCI"
"197",401101,"FA_Mag",0.969884200886009,"Current","fa_mag",0.55717754145992,0.00531978685949078,"CSCI"
"198",401110,"FA_Mag",0.782674511826715,"Current","fa_mag",0.557158860544642,0.00414420288107239,"CSCI"
"199",401120,"FA_Mag",4.3400340489342,"Current","fa_mag",0.557513807685223,0.0264809120545878,"CSCI"
"200",401121,"FA_Mag",0.122730383854799,"Current","fa_mag",0.557093006038,0,"CSCI"
"201",402010,"FA_Mag",3.20851879521491,"Current","fa_mag",0.557400913416589,0.0193765121100811,"CSCI"
"202",402020,"FA_Mag",22.1680211491828,"Current","fa_mag",0.55929176131691,0.138366961143368,"CSCI"
"203",402021,"FA_Mag",19.9776574621505,"Current","fa_mag",0.559073401202762,0.124625629527522,"CSCI"
"204",402022,"FA_Mag",3.48931839392158,"Current","fa_mag",0.557428930088746,0.0211395922604489,"CSCI"
"205",402023,"FA_Mag",36.593333643082,"Current","fa_mag",0.560729262120724,0.228828423486517,"CSCI"
"206",402030,"FA_Mag",13.7915126911295,"Current","fa_mag",0.558456573486392,0.085808860111742,"CSCI"
